year,site,habitat,treatment,betula_nana,deschampsia_flexuosa,empetrum_nigrum,vaccinium_myrtillus,vaccinium_uliginosum,vaccinium_vitis_idaea
1998,1,Forest,grazedcontrol,0.0,7.47321428571429,22.5924183006536,117.972789115646,11.8650793650794,8.46167800453515
1998,1,Forest,rodentexclosure,4.74196078431373,3.32142857142857,24.3895424836602,56.9523809523809,7.79705215419501,22.2675736961452
1998,1,Tundra,grazedcontrol,5.53228758169935,0.0,43.3877124183006,0.0,27.1201814058957,12.0244897959184
1998,1,Tundra,rodentexclosure,4.34679738562092,0.0,68.2907189542484,0.0,11.8650793650794,16.9233560090703
1998,2,Forest,grazedcontrol,0.0,10.5178571428572,42.3607843137255,43.0532879818594,91.1916099773243,20.9315192743765
1998,2,Forest,rodentexclosure,1.97581699346406,5.25892857142857,71.11477124183,48.8163265306122,11.5260770975056,33.8467120181406
1998,2,Tundra,grazedcontrol,8.29843137254902,0.0,81.6407843137255,0.0,4.40702947845805,25.8303854875283
1998,2,Tundra,rodentexclosure,7.5081045751634,0.0,49.0358169934641,0.0,20.6791383219954,12.0244897959184
1998,3,Forest,grazedcontrol,8.29843137254902,25.1875,22.3356862745098,101.022675736961,2.71201814058957,8.01632653061225
1998,3,Forest,rodentexclosure,6.71777777777778,17.1607142857143,35.4290196078431,27.798185941043,2.71201814058957,16.4780045351473
1998,3,Tundra,grazedcontrol,7.11294117647059,0.0,143.513202614379,0.0,12.2040816326531,20.9315192743765
1998,3,Tundra,rodentexclosure,3.9516339869281,0.0,94.220653594771,0.0,8.13605442176871,6.68027210884354
1999,1,Forest,grazedcontrol,0.0,13.8392857142857,20.0250980392157,106.785714285714,8.4750566893424,22.712925170068
1999,1,Forest,rodentexclosure,5.53228758169935,2.76785714285714,33.8886274509804,78.9875283446712,8.4750566893424,25.3850340136054
1999,1,Tundra,grazedcontrol,6.32261437908496,0.0,44.157908496732,0.0,22.3741496598639,11.5791383219955
1999,1,Tundra,rodentexclosure,7.11294117647059,0.0,81.897516339869,0.0,5.42403628117914,21.8222222222222
1999,2,Forest,grazedcontrol,0.0,10.7946428571429,38.5098039215686,26.1031746031746,100.344671201814,25.8303854875283
1999,2,Forest,rodentexclosure,1.18549019607843,4.42857142857143,86.2619607843137,59.3253968253968,14.9160997732427,41.8630385487528
1999,2,Tundra,grazedcontrol,29.6372549019608,0.0,73.1686274509804,0.0,6.44104308390022,37.4095238095238
1999,2,Tundra,rodentexclosure,12.2500653594771,0.0,57.5079738562092,0.0,49.4943310657597,16.9233560090703
