Record number	In-ref ID	Individual ID	Predator	Predator common name	Predator  taxon	Predator lifestage	Type of feeding interaction	Predator length	Predator length unit	Predator dimension measured	Predator standard length	Predator fork length	Predator total length	Predator TL/FL/SL conversion reference	Standardised predator length	Predator measurement type	Predator length-mass conversion method	Predator length-mass conversion reference	Predator quality of length-mass conversion	Predator mass	Predator mass unit	Predator mass check	Predator mass check diff	Predator ratio mass/mass	SI predator mass	Diet coverage	Prey	Prey common name	Prey taxon	Prey length	Prey length unit	Prey conversion to length method	Prey quality of conversion to length	Prey conversion to length reference	SI prey length	Prey dimension measured	Prey width	Prey width unit	Prey measurement type	Prey mass	Prey mass unit	Prey mass check	Prey mass check diff	Prey ratio mass/mass	SI prey mass	Prey conversion to mass method	Prey conversion to mass reference	Prey quality of conversion to mass	Geographic location	Latitude	Longitude	Depth	Mean annual temp	SD annual temp	Mean PP	SD PP	Reference	Specific habitat	Notes / assumptions
1430	89237	378	Thunnus thynnus	Atlantic bluefin tuna	ectotherm vertebrate	adult	piscivorous	131	cm	curved fork length	124.19	131	140.83	Fishbase (species)	131	individual	M=0.0231FL^2.934	Hsu et al. (2000)	1	37643	g	117650	80007	3.1254	37643	all	Ammodytes sp.	Sand lance	ectotherm vertebrate	13	cm	n/a	0	n/a	13	total length	n/a	n/a	individual	5.9691	g	114.98	109.01	19.262	5.9691	M=0.0017L^3.1828	CEFAS Endeavour cruise 16/05	2	Great Channel South, Gulf of Maine, New England	41º71'N	69º76'W	12	10.4	5.7	1045	105	Chase, B.C. (2002)	Shelf	None
27342	n/a	15043	Mustelus canis	Smooth dogfish	ectotherm vertebrate	adult	predacious	990	mm	total length	841.12	0	990	Fishbase (species)	99	individual	M=0.0023TL^3.1	van der Elst (1981)	1	3533.4	g	50779	47246	14.371	3533.4	all	unidentified invertebrate	unidentified invertebrate	ectotherm invertebrate	60	mm	n/a	0	n/a	6	total length	n/a	n/a	individual	4.8993	g	11.304	6.4047	2.3072	4.8993	M=(0.015*(L*10)^3.101)/1000	Benke et al (1999)	5	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
7798	n/a	1637	Paralichthys oblongus	Fourspot flounder	ectotherm vertebrate	adult	predacious	220	mm	total length	0	0	220	n/a	22	individual	M=0.0075*TL^3.1272	Froese and Pauly (2007)	3	118.33	g	557.25	438.92	4.7094	118.33	all	unidentified invertebrate	unidentified invertebrate	ectotherm invertebrate	42	mm	n/a	0	n/a	4.2	total length	n/a	n/a	individual	1.621	g	3.8773	2.2563	2.3919	1.621	M=(0.015*(L*10)^3.101)/1000	Benke et al (1999)	5	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
17301	Sami 42	7005	Thunnus alalunga	Albacore	ectotherm vertebrate	juvenile	piscivorous	75	cm	standard length	75	79.031	84.525	Fishbase (species)	84.525	individual	M=0.0258L^2.86	Pusineri et al. (2005)	1	8371.4	g	31603	23232	3.7752	8371.4	all	Maurolicus muelleri	Pearlside	ectotherm vertebrate	4.1444	cm	L = 10 ^((logM-log(0.0016))/3.961)	1	Haimovici and Velasco (2000)	4.1444	mass	n/a	n/a	individual	0.44657	g	3.7253	3.2788	8.3421	0.44657	Weighed	n/a	0	Off the Bay of Biscay	45º00'N	18º00'W	4562	15.4	2.5	437	53	Pusineri et al (2005)	Off the continental shelf	None
3650	n/a	797	Thunnus albacares	Yellowfin tuna	ectotherm vertebrate	adult	piscivorous	137	cm	standard length	137	141.82	157.14	Fishbase (species)	157.14	individual	M=0.0214SL^2.974	Le Guen and Sagakawa (1973)	1	48420	g	203060	154640	4.1938	48420	all	fish	fish	ectotherm vertebrate	4.1	cm	n/a	0	n/a	4.1	Standard length	n/a	n/a	individual	0.68921	g	3.6069	2.9177	5.2333	0.68921	M=0.01L^3	Standard fish shape	4	French Polynesian EEZ	12º00'S	144º00'W	4785	28.4	0.6	316	38	Menard et al (2006)	open ocean	Contiguous predators of same length assumed same individual
25809	n/a	13700	Squalus acanthias	Spurdog / spiny dogfish	ectotherm vertebrate	adult	piscivorous	680	mm	total length	0	603.16	680	Fishbase (species)	68	individual	M=0.0008TL^3.3710	Bedford et al. (1986)	1	1203.6	g	16455	15252	13.672	1203.6	all	fish unidentified	fish	ectotherm vertebrate	165	mm	n/a	0	n/a	16.5	total length	n/a	n/a	individual	44.921	g	235.09	190.17	5.2333	44.921	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
29846	n/a	15964	Pollachius virens	Saithe	ectotherm vertebrate	adult	piscivorous	100	cm	total length	82.5	87.9	100	Fishbase (species)	100	individual	M=0.0103SL^2.9630	Bedford et al. (1986)	1	4912.4	g	52333	47421	10.653	4912.4	fish	Sardina pilchardus	Pilchard	ectotherm vertebrate	20	cm	n/a	0	n/a	20	total length	n/a	n/a	individual	59.375	g	418.67	359.29	7.0513	59.375	M=0.0059*L^3.0766	Dorel (1986)	1	Europe, Celtic Sea ecosystem	50º50'N	08º00'W	102	12.9	3	607	18	Pinnegar et al. (2003)	demersal food web	Contiguous predators of same length assumed same individual
30497	5258	16225	Pleuragramma antarcticum	Antarctic Silverfish	ectotherm vertebrate	postlarva/juvenile	planktivorous	17.9	mm	standard length	17.9	19.064	19.905	Fishbase (species)	1.9905	individual	M=0.0045SL^3.25	Kunzmann (1986)	1	0.029853	g	0.41272	0.38286	13.825	0.029853	all	calanoid egg	copepod egg	egg	0.16	mm	n/a	0	n/a	0.016	external diameter	n/a	n/a	individual	6.448e-7	g	2.1436e-7	-4.3044e-7	0.33244	6.448e-7	M=0.000068283D-0.00000044773	Huntley & Lopez (1992)	4	Antarctic Peninsula	63º00'S	58º00'W	881	-1.3	0.6	230	26	Kellermann, A. (1987)	Seasonal Pack Ice Zone	None
4311	n/a	839	Thunnus albacares	Yellowfin tuna	ectotherm vertebrate	adult	piscivorous	129	cm	standard length	129	133.54	147.96	Fishbase (species)	147.96	individual	M=0.0214SL^2.974	Le Guen and Sagakawa (1973)	1	40486	g	169530	129040	4.1873	40486	all	fish	fish	ectotherm vertebrate	2	cm	n/a	0	n/a	2	Standard length	n/a	n/a	individual	0.08	g	0.41867	0.33867	5.2333	0.08	M=0.01L^3	Standard fish shape	4	French Polynesian EEZ	12º00'S	144º00'W	4785	28.4	0.6	316	38	Menard et al (2006)	open ocean	Contiguous predators of same length assumed same individual
34060	n/a	NA	Dicentrarchus labrax	European sea bass	ectotherm vertebrate	juvenile	predacious	28	mm	total length	0	0	28	n/a	2.8	mid-class	M=0.0123TL^2.9554	Dorel (1986)	1	0.25789	g	1.1488	0.89093	4.4547	0.25789	Mysids	Schistomysis spiritus	mysid	ectotherm invertebrate	2.8575	mm	n/a	0	n/a	0.28575	total length	n/a	n/a	individual	1.007e-4	g	0.0012211	0.0011204	12.126	1.007e-4	M=0.00000339*(L*10)^3.23	Morris et al (1988)	4	Oxwich Bay, Wales	51º52'N	04º10'W	8	12.2	3.9	1399	NA	Lancaster (1991)	estuary/coastal	Predator length mid-class
13143	n/a	6381	Pomatomus saltatrix	Bluefish	ectotherm vertebrate	adult	piscivorous	510	mm	total length	443.7	470.73	510	Fishbase (species)	51	individual	M=0.0136TL^2.899	Haimovici and Velasco (2000)	1	1212.8	g	6942.1	5729.3	5.7241	1212.8	all	fish unidentified	fish	ectotherm vertebrate	65	mm	n/a	0	n/a	6.5	total length	n/a	n/a	individual	2.7463	g	14.372	11.626	5.2333	2.7463	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
1513	89118	352	Thunnus thynnus	Atlantic bluefin tuna	ectotherm vertebrate	adult	piscivorous	132	cm	curved fork length	125.14	132	141.9	Fishbase (species)	132	individual	M=0.0231FL^2.934	Hsu et al. (2000)	1	38492	g	120360	81873	3.127	38492	all	Ammodytes sp.	Sand lance	ectotherm vertebrate	13	cm	n/a	0	n/a	13	total length	n/a	n/a	individual	5.9691	g	114.98	109.01	19.262	5.9691	M=0.0017L^3.1828	CEFAS Endeavour cruise 16/05	2	Great Channel South, Gulf of Maine, New England	41º71'N	69º76'W	12	10.4	5.7	1045	105	Chase, B.C. (2002)	Shelf	None
26371	n/a	14208	Squalus acanthias	Spurdog / spiny dogfish	ectotherm vertebrate	adult	predacious	800	mm	total length	0	709.6	800	Fishbase (species)	80	individual	M=0.0008TL^3.3710	Bedford et al. (1986)	1	2081.6	g	26795	24713	12.872	2081.6	all	unidentified invertebrate	unidentified invertebrate	ectotherm invertebrate	130	mm	n/a	0	n/a	13	total length	n/a	n/a	individual	53.88	g	114.98	61.096	2.1339	53.88	M=(0.015*(L*10)^3.101)/1000	Benke et al (1999)	5	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
9248	n/a	2896	Merluccius bilinearis	Silver hake	ectotherm vertebrate	adult	piscivorous	410	mm	total length	368.18	0	410	Fishbase (species)	41	individual	M=0.0039SL^3.16	Schaefer (1960)	1	346.59	g	3606.9	3260.3	10.407	346.59	all	fish unidentified	fish	ectotherm vertebrate	120	mm	n/a	0	n/a	12	total length	n/a	n/a	individual	17.28	g	90.432	73.152	5.2333	17.28	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
27158	n/a	14892	Mustelus canis	Smooth dogfish	ectotherm vertebrate	adult	predacious	1060	mm	total length	900.59	0	1060	Fishbase (species)	106	individual	M=0.0023TL^3.1	van der Elst (1981)	1	4366.9	g	62330	57963	14.273	4366.9	all	unidentified invertebrate	unidentified invertebrate	ectotherm invertebrate	90	mm	n/a	0	n/a	9	total length	n/a	n/a	individual	17.227	g	38.151	20.924	2.2147	17.227	M=(0.015*(L*10)^3.101)/1000	Benke et al (1999)	5	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
12795	n/a	6068	Raja erinacea	Little skate	ectotherm vertebrate	adult	predacious	310	mm	total length	310	310	310	Fishbase (species)	31	individual	M=0.0027SL^3.184	Waring (1984)	1	151.31	g	1559.1	1407.8	10.304	151.31	all	unidentified invertebrate	unidentified invertebrate	ectotherm invertebrate	30	mm	n/a	0	n/a	3	total length	n/a	n/a	individual	0.57101	g	1.413	0.84199	2.4746	0.57101	M=(0.015*(L*10)^3.101)/1000	Benke et al (1999)	5	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
6049	n/a	952	Thunnus obesus	Bigeye tuna	ectotherm vertebrate	adult	piscivorous	116	cm	standard length	116	122.23	130.15	Fishbase (species)	130.15	individual	M=0.0178SL^2.902	Nakamura and Uchiyama (1966)	1	17437	g	115380	97943	6.6169	17437	all	fish	fish	ectotherm vertebrate	23	cm	n/a	0	n/a	23	Standard length	n/a	n/a	individual	121.67	g	636.74	515.07	5.2333	121.67	M=0.01L^3	Standard fish shape	4	French Polynesian EEZ	12º00'S	144º00'W	4785	28.4	0.6	316	38	Menard et al (2006)	open ocean	Contiguous predators of same length assumed same individual
10688	n/a	4206	Urophysis chuss	Red hake	ectotherm vertebrate	adult	piscivorous	240	mm	total length	208.56	0	240	Fishbase (species)	24	individual	M=0.0124TL^3.0	Crawford (1993)	1	171.42	g	723.46	552.04	4.2204	171.42	all	fish unidentified	fish	ectotherm vertebrate	45	mm	n/a	0	n/a	4.5	total length	n/a	n/a	individual	0.91125	g	4.7689	3.8576	5.2333	0.91125	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
22513	n/a	10713	Raja ocellata	Winter skate	ectotherm vertebrate	adult	piscivorous	970	mm	total length	0	0	970	n/a	97	individual	M=0.0022TL^3.295	Sulikowski et al. (2003)	1	7741.7	g	47763	40022	6.1696	7741.7	all	fish unidentified	fish	ectotherm vertebrate	140	mm	n/a	0	n/a	14	total length	n/a	n/a	individual	27.44	g	143.6	116.16	5.2333	27.44	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
18137	XG81	7079	Xiphias gladius	Swordfish	ectotherm vertebrate	adult	piscivorous	92	cm	lower jaw to fork length	87.584	92	100.92	Fishbase (species)	100.92	individual	M=0.0078L^3.21	Chancollon et al. (2006)	1	21131	g	53797	32667	2.5459	21131	all	Myctophum punctatum	Metallic lanternfish	ectotherm vertebrate	7.2882	cm	L = 10^ ((logM-log(0.015))/3.0)	1	Hulley (1990)	7.2882	mass	n/a	n/a	individual	5.807	g	20.26	14.453	3.4889	5.807	Weighed	n/a	0	Off the Bay of Biscay	44º00'N	16º00'W	3798	15.6	2.7	469	51	Chancollon et al (2006)	Off the continental shelf	None
15443	Ge45	6990	Thunnus alalunga	Albacore	ectotherm vertebrate	juvenile	piscivorous	63	cm	standard length	63	66.386	71.001	Fishbase (species)	71.001	individual	M=0.0258L^2.86	Pusineri et al. (2005)	1	5084.4	g	18731	13647	3.6841	5084.4	all	Maurolicus muelleri	Pearlside	ectotherm vertebrate	3.9206	cm	L = 10 ^((logM-log(0.0016))/3.961)	1	Haimovici and Velasco (2000)	3.9206	mass	n/a	n/a	individual	0.35841	g	3.1538	2.7954	8.7993	0.35841	Weighed	n/a	0	Off the Bay of Biscay	45º00'N	18º00'W	4562	15.4	2.5	437	53	Pusineri et al (2005)	Off the continental shelf	None
8232	n/a	2002	Hemitripterus americanus	Sea raven	ectotherm vertebrate	adult	piscivorous	160	mm	total length	132	160	160	Fishbase (species)	16	individual	M=0.0183FL^3	Froese and Pauly (2007)	1	74.957	g	214.36	139.4	2.8597	74.957	all	fish unidentified	fish	ectotherm vertebrate	50	mm	n/a	0	n/a	5	total length	n/a	n/a	individual	1.25	g	6.5417	5.2917	5.2333	1.25	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
32954	n/a	17436	Urophycis tenuis	White hake	ectotherm vertebrate	adult	piscivorous	390	mm	total length	335.79	0	390	Fishbase (species)	39	individual	M=0.004TL^3.172	Clay and Clay (1991)	1	445.57	g	3104.4	2658.8	6.9672	445.57	all	fish unidentified	fish	ectotherm vertebrate	62	mm	n/a	0	n/a	6.2	total length	n/a	n/a	individual	2.3833	g	12.472	10.089	5.2333	2.3833	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
16837	Sami 31	7002	Thunnus alalunga	Albacore	ectotherm vertebrate	juvenile	piscivorous	65	cm	standard length	65	68.493	73.255	Fishbase (species)	73.255	individual	M=0.0258L^2.86	Pusineri et al. (2005)	1	5559.7	g	20573	15013	3.7003	5559.7	all	Maurolicus muelleri	Pearlside	ectotherm vertebrate	5.1306	cm	L = 10 ^((logM-log(0.0016))/3.961)	1	Haimovici and Velasco (2000)	5.1306	mass	n/a	n/a	individual	1.0402	g	7.0678	6.0276	6.795	1.0402	Weighed	n/a	0	Off the Bay of Biscay	45º00'N	18º00'W	4562	15.4	2.5	437	53	Pusineri et al (2005)	Off the continental shelf	None
16359	Sami 24	6999	Thunnus alalunga	Albacore	ectotherm vertebrate	juvenile	predacious	68	cm	standard length	68	71.654	76.636	Fishbase (species)	76.636	individual	M=0.0258L^2.86	Pusineri et al. (2005)	1	6325.5	g	23555	17229	3.7237	6325.5	all	Meganyctiphanes norvegica	Northern krill	ectotherm invertebrate	32.14	mm	L = 10^ ((logM-log(0.00000339))/3.23)	4	Morris et al. (1988)	3.214	mass	n/a	n/a	individual	0.25	g	1.7374	1.4874	6.9496	0.25	Weighed	n/a	0	Off the Bay of Biscay	45º00'N	18º00'W	4562	15.4	2.5	437	53	Pusineri et al (2005)	Off the continental shelf	None
11501	n/a	4934	Cynoscion regalis	Weakfish	ectotherm vertebrate	adult	piscivorous	220	mm	total length	193.83	220	220	Fishbase (species)	22	individual	M=0.0088SL^3.0	Crozier and Hecht (1913)	1	64.086	g	557.25	493.16	8.6953	64.086	all	fish unidentified	fish	ectotherm vertebrate	8	mm	n/a	0	n/a	0.8	total length	n/a	n/a	individual	0.00512	g	0.026795	0.021675	5.2333	0.00512	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	None
16794	Sami 31	7002	Thunnus alalunga	Albacore	ectotherm vertebrate	juvenile	piscivorous	65	cm	standard length	65	68.493	73.255	Fishbase (species)	73.255	individual	M=0.0258L^2.86	Pusineri et al. (2005)	1	5559.7	g	20573	15013	3.7003	5559.7	all	Maurolicus muelleri	Pearlside	ectotherm vertebrate	4.7551	cm	L = 10 ^((logM-log(0.0016))/3.961)	1	Haimovici and Velasco (2000)	4.7551	mass	n/a	n/a	individual	0.76974	g	5.6267	4.8569	7.3099	0.76974	Weighed	n/a	0	Off the Bay of Biscay	45º00'N	18º00'W	4562	15.4	2.5	437	53	Pusineri et al (2005)	Off the continental shelf	None
20833	n/a	9256	Gadus morhua	Atlantic cod	ectotherm vertebrate	adult	piscivorous	700	mm	total length	615.3	700	700	Fishbase (species)	70	individual	M=0.0070SL^3.0870	Bedford et al. (1986)	1	2333.5	g	17950	15617	7.6924	2333.5	all	fish unidentified	fish	ectotherm vertebrate	120	mm	n/a	0	n/a	12	total length	n/a	n/a	individual	17.28	g	90.432	73.152	5.2333	17.28	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
25583	n/a	13491	Squalus acanthias	Spurdog / spiny dogfish	ectotherm vertebrate	adult	piscivorous	880	mm	total length	0	780.56	880	Fishbase (species)	88	individual	M=0.0008TL^3.3710	Bedford et al. (1986)	1	2870.4	g	35664	32793	12.425	2870.4	all	fish unidentified	fish	ectotherm vertebrate	138	mm	n/a	0	n/a	13.8	total length	n/a	n/a	individual	26.281	g	137.54	111.26	5.2333	26.281	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
12427	n/a	5763	Raja erinacea	Little skate	ectotherm vertebrate	adult	predacious	390	mm	total length	390	390	390	Fishbase (species)	39	individual	M=0.0027SL^3.184	Waring (1984)	1	314.28	g	3104.4	2790.1	9.8778	314.28	all	unidentified invertebrate	unidentified invertebrate	ectotherm invertebrate	5	mm	n/a	0	n/a	0.5	total length	n/a	n/a	individual	0.002206	g	0.0065417	0.0043357	2.9655	0.002206	M=(0.015*(L*10)^3.101)/1000	Benke et al (1999)	5	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
9605	n/a	3230	Merluccius bilinearis	Silver hake	ectotherm vertebrate	adult	piscivorous	320	mm	total length	287.36	0	320	Fishbase (species)	32	individual	M=0.0039SL^3.16	Schaefer (1960)	1	158.38	g	1714.9	1556.5	10.828	158.38	all	fish unidentified	fish	ectotherm vertebrate	180	mm	n/a	0	n/a	18	total length	n/a	n/a	individual	58.32	g	305.21	246.89	5.2333	58.32	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
22132	n/a	10371	Pollachius virens	Saithe	ectotherm vertebrate	adult	piscivorous	700	mm	total length	577.5	615.3	700	Fishbase (species)	70	individual	M=0.0103SL^2.9630	Bedford et al. (1986)	1	1707.3	g	17950	16243	10.514	1707.3	all	fish unidentified	fish	ectotherm vertebrate	150	mm	n/a	0	n/a	15	total length	n/a	n/a	individual	33.75	g	176.63	142.88	5.2333	33.75	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
32631	n/a	17118	Urophycis tenuis	White hake	ectotherm vertebrate	adult	piscivorous	430	mm	total length	370.23	0	430	Fishbase (species)	43	individual	M=0.004TL^3.172	Clay and Clay (1991)	1	607.33	g	4160.9	3553.5	6.8511	607.33	all	fish unidentified	fish	ectotherm vertebrate	80	mm	n/a	0	n/a	8	total length	n/a	n/a	individual	5.12	g	26.795	21.675	5.2333	5.12	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
21324	n/a	9679	Gadus morhua	Atlantic cod	ectotherm vertebrate	adult	predacious	420	mm	total length	369.18	420	420	Fishbase (species)	42	individual	M=0.0070SL^3.0870	Bedford et al. (1986)	1	482.13	g	3877.3	3395.1	8.042	482.13	all	unidentified invertebrate	unidentified invertebrate	ectotherm invertebrate	20	mm	n/a	0	n/a	2	total length	n/a	n/a	individual	0.1624	g	0.41867	0.25627	2.578	0.1624	M=(0.015*(L*10)^3.101)/1000	Benke et al (1999)	5	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
31633	6281	16664	Nototheniops larseni	Antarctic fish	ectotherm vertebrate	larva	predacious	17.94	mm	standard length	17.94	0	0	n/a	1.794	individual	M=0.0159SL^3	Froese and Pauly (2007)	2	0.091805	g	0.30217	0.21036	3.2914	0.091805	all	Oncaea sp.	copepod	ectotherm invertebrate	0.45	mm	n/a	0	n/a	0.045	cephalothorax length	n/a	n/a	individual	1.2416e-6	g	4.7689e-6	3.5273e-6	3.8408	1.2416e-6	M=(2.51x10-8*(L*10000)^2.9)/1000000	Satapoomin (1999)	2	Antarctic Peninsula	63º00'S	58º00'W	881	-1.3	0.6	230	26	Kellermann, A. (1990)	Seasonal Pack Ice Zone	None
28217	n/a	15682	Gadus morhua	Atlantic cod	ectotherm vertebrate	adult	piscivorous	47	cm	total length	41.313	47	47	Fishbase (species)	47	individual	M=0.0070SL^3.0870	Bedford et al. (1986)	1	682.27	g	5433.4	4751.1	7.9637	682.27	fish	Callionymus lyra	dragonet	ectotherm vertebrate	8	cm	n/a	0	n/a	8	total length	n/a	n/a	individual	4.809	g	26.795	21.986	5.5717	4.809	M=0.022L^2.5907	Coull et al. (1989)	1	Europe, Celtic Sea ecosystem	50º50'N	08º00'W	102	12.9	3	607	18	Pinnegar et al. (2003)	demersal food web	Contiguous predators of same length assumed same individual
2009	91104	380	Thunnus thynnus	Atlantic bluefin tuna	ectotherm vertebrate	adult	piscivorous	254	cm	curved fork length	240.79	254	273.05	Fishbase (species)	254	individual	M=0.0231FL^2.934	Hsu et al. (2000)	1	262660	g	857590	594930	3.265	262660	all	Clupea harengus	Atlantic herring	ectotherm vertebrate	25	cm	n/a	0	n/a	25	total length	n/a	n/a	individual	144.71	g	817.71	673	5.6507	144.71	M=0.0050*L^3.1915	Coull et al. (1989)	1	Great Channel South, Gulf of Maine, New England	41º71'N	69º76'W	12	10.4	5.7	1045	105	Chase, B.C. (2002)	Shelf	None
5615	n/a	920	Thunnus obesus	Bigeye tuna	ectotherm vertebrate	adult	predacious	112	cm	standard length	112	118.02	125.66	Fishbase (species)	125.66	individual	M=0.0178SL^2.902	Nakamura and Uchiyama (1966)	1	15749	g	103850	88102	6.5942	15749	all	unidentified squid	squid	ectotherm invertebrate	4.7	cm	n/a	0	n/a	4.7	Mantle length	n/a	n/a	individual	4.3234	g	5.4334	1.11	1.2567	4.3234	M=0.0004(ML*10)^2.4124	Hunsicker & Essington (2006)	4	French Polynesian EEZ	12º00'S	144º00'W	4785	28.4	0.6	316	38	Menard et al (2006)	open ocean	Contiguous predators of same length assumed same individual
20606	n/a	9030	Gadus morhua	Atlantic cod	ectotherm vertebrate	adult	piscivorous	640	mm	total length	562.56	640	640	Fishbase (species)	64	individual	M=0.0070SL^3.0870	Bedford et al. (1986)	1	1769.6	g	13719	11949	7.7526	1769.6	all	fish unidentified	fish	ectotherm vertebrate	220	mm	n/a	0	n/a	22	total length	n/a	n/a	individual	106.48	g	557.25	450.77	5.2333	106.48	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
9609	n/a	3233	Merluccius bilinearis	Silver hake	ectotherm vertebrate	adult	piscivorous	350	mm	total length	314.3	0	350	Fishbase (species)	35	individual	M=0.0039SL^3.16	Schaefer (1960)	1	210.22	g	2243.8	2033.6	10.674	210.22	all	fish unidentified	fish	ectotherm vertebrate	130	mm	n/a	0	n/a	13	total length	n/a	n/a	individual	21.97	g	114.98	93.006	5.2333	21.97	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
8243	n/a	2012	Hemitripterus americanus	Sea raven	ectotherm vertebrate	adult	piscivorous	180	mm	total length	148.5	180	180	Fishbase (species)	18	individual	M=0.0183FL^3	Froese and Pauly (2007)	1	106.73	g	305.21	198.48	2.8597	106.73	all	fish unidentified	fish	ectotherm vertebrate	193	mm	n/a	0	n/a	19.3	total length	n/a	n/a	individual	71.891	g	376.23	304.34	5.2333	71.891	M=0.01L^3	Standard fish shape	4	Atlantic Ocean	40º00'N	71º00'W	677	15.1	6.4	867	80	Scharf et al. (2000)	Pelagic	Contiguous predators of same length assumed same individual
2823	n/a	761	Thunnus albacares	Yellowfin tuna	ectotherm vertebrate	adult	predacious	86	cm	standard length	86	89.027	98.642	Fishbase (species)	98.642	individual	M=0.0214SL^2.974	Le Guen and Sagakawa (1973)	1	12123	g	50230	38107	4.1434	12123	all	crustacean	crustacean	ectotherm invertebrate	2.6	cm	n/a	0	n/a	2.6	Eye to end of abdomen	n/a	n/a	individual	1.7053	g	0.91981	-0.78545	0.5394	1.7053	M=(0.015*(L*10)^3.573)/1000	Benke et al (1999)	4	French Polynesian EEZ	12º00'S	144º00'W	4785	28.4	0.6	316	38	Menard et al (2006)	open ocean	Contiguous predators of same length assumed same individual
29862	n/a	15966	Pollachius virens	Saithe	ectotherm vertebrate	adult	piscivorous	102	cm	total length	84.15	89.658	102	Fishbase (species)	102	individual	M=0.0103SL^2.9630	Bedford et al. (1986)	1	5209.2	g	55537	50327	10.661	5209.2	fish	Clupeoid	Clupeoid	ectotherm vertebrate	15	cm	n/a	0	n/a	15	total length	n/a	n/a	individual	28.344	g	176.63	148.28	6.2314	28.344	M=0.0050*L^3.1915	Coull et al. (1989)	3	Europe, Celtic Sea ecosystem	50º50'N	08º00'W	102	12.9	3	607	18	Pinnegar et al. (2003)	demersal food web	Contiguous predators of same length assumed same individual
